Dates;USGG3M Index;USGG12M Index;USGG2YR Index;USGG5YR Index;USGG10YR Index;USGG30YR Index;G0025 1Y1Y BLC2 Curncy;G0025 1Y3M BLC2 Curncy;G0025 1Y2Y BLC2 Curncy;G0025 1Y5Y BLC2 Curncy;G0025 1Y10Y BLC2 Curncy;G0025 1Y30Y BLC2 Curncy;GDP CYOY Index
30/09/1996;5.032;5.685;6.102;6.457;6.703;6.923;6.5274;6.5289;6.6008;6.7446;6.8908;7.0254;4
31/12/1996;5.171;5.483;5.868;6.21;6.418;6.642;6.3351;5.9943;6.3714;6.323;6.5794;6.7392;4.4
31/03/1997;5.322;6.003;6.42;6.752;6.903;7.096;6.8735;6.7519;6.916;6.9983;7.0667;7.1876;4.3
30/06/1997;5.167;5.657;6.068;6.383;6.5;6.785;6.4944;6.4597;6.5628;6.6051;6.673;6.8778;4.3
30/09/1997;5.1;5.444;5.779;5.987;6.103;6.399;6.1098;6.1143;6.0745;6.1583;6.2463;6.4743;4.7
31/12/1997;5.347;5.482;5.646;5.711;5.742;5.923;5.7961;5.739;5.7584;5.7726;5.8162;5.9563;4.5
31/03/1998;5.12;5.386;5.563;5.618;5.654;5.933;5.7359;5.6329;5.6875;5.6865;5.7407;5.9784;4.9
30/06/1998;5.078;5.371;5.471;5.467;5.446;5.627;5.5735;5.535;5.5497;5.4821;5.4901;5.6518;4.1
30/09/1998;4.361;4.399;4.273;4.216;4.42;4.978;4.1497;4.1513;4.1602;4.2756;4.5537;5.0331;4.1
31/12/1998;4.452;4.524;4.529;4.54;4.648;5.095;4.5312;4.5063;4.5389;4.5926;4.7446;5.1409;4.9
31/03/1999;4.475;4.71;4.987;5.102;5.242;5.625;5.2774;5.2291;5.2352;5.258;5.3931;5.6912;4.8
30/06/1999;4.779;5.056;5.512;5.646;5.78;5.963;5.9688;5.9431;5.8624;5.8417;5.9077;6.0262;4.7
30/09/1999;4.851;5.173;5.596;5.754;5.877;6.051;6.0037;6.0096;5.9427;5.9404;5.9996;6.1153;4.8
31/12/1999;5.328;5.957;6.214;6.344;6.442;6.478;6.4954;6.4263;6.4594;6.4713;6.5093;6.5145;4.8
31/03/2000;5.871;6.234;6.479;6.314;6.004;5.828;6.6892;6.5821;6.4308;6.1502;5.9299;5.7902;4.2
30/06/2000;5.855;6.057;6.362;6.185;6.031;5.896;6.6222;6.589;6.3394;6.127;5.9864;5.877;5.2
29/09/2000;6.21;6.09;5.979;5.851;5.802;5.885;5.8708;5.8776;5.8063;5.771;5.7794;5.874;4
29/12/2000;5.895;5.366;5.096;4.976;5.112;5.457;4.8503;4.8084;4.8611;4.9569;5.1641;5.4813;2.9
30/03/2001;4.286;4.113;4.18;4.557;4.917;5.444;4.2369;4.1781;4.5534;4.8476;5.1173;5.5415;2.2
29/06/2001;3.656;3.634;4.242;4.95;5.412;5.759;4.5548;4.5388;5.0225;5.3976;5.6774;5.8911;1
28/09/2001;2.371;3.303;2.851;3.804;4.588;5.421;3.0166;3.0302;3.805;4.484;4.9936;5.6238;0.5
31/12/2001;1.725;3.303;3.026;4.302;5.051;5.466;3.4332;3.4093;4.3352;5.0258;5.4575;5.6722;0.2
29/03/2002;1.777;3.303;3.711;4.805;5.396;5.795;4.2589;4.19;4.9635;5.4807;5.7558;5.9901;1.3
28/06/2002;1.6796;3.303;2.8104;4.0319;4.7965;5.5076;3.3371;3.1838;4.1102;4.7532;5.259;5.7402;1.3
30/09/2002;1.5467;3.303;1.6833;2.5598;3.5942;4.6682;1.7479;1.7537;2.4743;3.2522;4.0586;4.9283;2.1
31/12/2002;1.1898;3.303;1.5982;2.7339;3.816;4.778;1.7373;1.7336;2.6504;3.5104;4.2902;5.0535;2
31/03/2003;1.108;3.303;1.4816;2.7104;3.796;4.8154;1.6031;1.5954;2.6017;3.5038;4.2919;5.1083;1.7
30/06/2003;0.8455;3.303;1.2999;2.4093;3.5133;4.5566;1.4129;1.4143;1.9289;3.1807;4;4.8539;2
30/09/2003;0.9376;3.303;1.4577;2.8255;3.9376;4.8823;1.6104;1.6204;2.3061;3.6429;4.453;5.1868;3.2
31/12/2003;0.9171;3.303;1.8189;3.2474;4.2455;5.0727;2.0991;2.0773;2.8393;4.0525;4.7408;5.3661;4.3
31/03/2004;0.9375;3.303;1.5718;2.7777;3.8348;4.7716;1.7531;1.7349;2.3403;3.5347;4.3206;5.0768;4.4
30/06/2004;1.2612;3.303;2.6772;3.7661;4.5806;5.2876;3.0153;3.0121;3.5639;4.4402;5.0069;5.543;4.2
30/09/2004;1.7003;3.303;2.605;3.3713;4.1194;4.8919;2.8217;2.8322;3.1707;3.9102;4.4892;5.1306;3.5
31/12/2004;2.2117;3.303;3.0651;3.6074;4.2182;4.8261;3.2347;3.2101;3.4433;4.0291;4.5044;5.0161;3.4
31/03/2005;2.7664;3.303;3.7745;4.1652;4.4815;4.7548;4.0043;3.9504;4.151;4.4373;4.6505;4.8671;3.9
30/06/2005;3.1161;3.303;3.6331;3.6978;3.913;4.1911;3.7405;3.7341;3.7083;3.8285;4.0187;4.27;3.6
30/09/2005;3.5376;3.303;4.1649;4.1886;4.324;4.5668;4.252;4.2651;4.2225;4.2711;4.4052;4.6319;3.4
30/12/2005;4.074;3.303;4.3996;4.3497;4.3911;4.5348;4.4122;4.377;4.3442;4.3587;4.4219;4.565;3
31/03/2006;4.6023;3.303;4.8161;4.8104;4.8472;4.8898;4.828;4.7466;4.8201;4.8293;4.8615;4.8944;3.2
30/06/2006;4.9757;3.303;5.1498;5.0926;5.1364;5.1859;5.1303;5.0979;5.0954;5.0958;5.1426;5.1878;3
29/09/2006;4.8719;3.303;4.6829;4.5777;4.6276;4.7619;4.5845;4.5841;4.5238;4.5556;4.6346;4.763;2.3
29/12/2006;5.0061;3.303;4.808;4.6923;4.7022;4.8095;4.7242;4.6968;4.6364;4.6536;4.6987;4.8075;2.6
